epoch,controller,timestamp,mean_reward,mean_on_target_ratio,mean_tracking_error,difficulty,total,tracking_total,tracking_position,tracking_velocity,tracking_control,reward,on_target_ratio,imitation
0,deep,2025-11-30T18:57:09.623115+00:00,-6784.876246869395,0.1016,49.6764097598266,1.0,731.6239990234375,375.0807861328125,355.84800415039064,18.232604026794434,1.0001654386520387,-12.724681663513184,0.1,178.2716064453125
1,deep,2025-11-30T18:57:10.864937+00:00,-6048.936247454762,0.0712,42.187996327615586,1.0,624.9116271972656,337.79954223632814,321.8928756713867,14.334101295471191,1.5725666642189027,-11.468365669250488,0.0875,143.55603408813477
2,deep,2025-11-30T18:57:12.100975+00:00,-7597.033058968326,0.17439999999999997,56.643736900777604,1.0,650.1719360351562,440.88482055664065,418.39573364257814,21.66138801574707,0.8276875615119934,-13.608500862121582,0.1,104.6435546875
3,deep,2025-11-30T18:57:13.332535+00:00,-8350.01093272215,0.13920000000000002,61.54908235949906,1.0,853.3283508300781,638.4684326171875,607.9579956054688,29.075393295288087,1.435028314590454,-16.87897891998291,0.1375,107.42995147705078
4,deep,2025-11-30T18:57:14.565140+00:00,-7444.6675294784045,0.15639999999999998,59.30274679018125,1.0,535.2690551757812,479.4601135253906,450.8028137207031,26.907260131835937,1.7500296831130981,-12.533980751037598,0.2125,27.90446662902832
5,deep,2025-11-30T18:57:15.893913+00:00,-6678.177935671154,0.1056,49.402077052545465,1.0,394.5771240234375,340.6234558105469,316.78102416992186,21.820731353759765,2.0216884851455688,-11.346106338500977,0.1,26.9768367767334
6,deep,2025-11-30T18:57:17.133137+00:00,-9451.732548679583,0.1016,66.91804130242318,1.0,941.4763366699219,891.0400604248047,846.7890869140625,41.751088333129886,2.49989709854126,-19.109388160705567,0.0625,25.21813087463379
7,deep,2025-11-30T18:57:18.372967+00:00,-11384.016947807215,0.13799999999999998,84.84430623861874,1.0,1402.3921264648438,1371.2959228515624,1302.4627197265625,65.78258819580078,3.050590753555298,-25.800120162963868,0.0875,15.548088645935058
8,deep,2025-11-30T18:57:19.624753+00:00,-13904.633839206941,0.0752,101.24030895088262,1.0,1588.4847412109375,1569.8321411132813,1494.1680541992187,72.75301589965821,2.9110629081726076,-26.455236434936523,0.1,9.326288270950318
9,deep,2025-11-30T18:57:20.862342+00:00,-14357.872009936676,0.1516,104.97841729517138,1.0,1661.499853515625,1654.969189453125,1580.8033325195313,71.2571891784668,2.9086563110351564,-25.672904205322265,0.2,3.2653340816497805
10,deep,2025-11-30T18:57:22.188108+00:00,-16030.087186140841,0.11639999999999999,109.85478104572485,1.0,2413.934765625,2406.3400146484373,2320.7142333984375,82.6241668701172,3.001578140258789,-32.264590454101565,0.1625,3.7973824024200438
11,deep,2025-11-30T18:57:23.425398+00:00,-15247.365069853699,0.05840000000000001,109.82793329072133,1.0,2281.6341064453127,2266.471325683594,2181.165148925781,82.13399658203124,3.172177028656006,-31.420425415039062,0.025,7.581401443481445
12,deep,2025-11-30T18:57:24.663548+00:00,-14974.222713505053,0.0712,103.53050651372416,1.0,1285.4009765625,1273.8216918945313,1212.5371398925781,58.322058868408206,2.962478017807007,-22.48659038543701,0.1,5.789644002914429
13,deep,2025-11-30T18:57:25.897489+00:00,-15010.398425876378,0.0596,95.78863883444026,1.0,1823.7442626953125,1802.959912109375,1734.589013671875,65.04877243041992,3.3221319675445558,-30.773242568969728,0.075,10.392180347442627
14,deep,2025-11-30T18:57:27.133029+00:00,-15573.68959042089,0.054400000000000004,97.82913570994364,1.0,1872.99521484375,1859.4051513671875,1787.342626953125,68.73041687011718,3.332112264633179,-29.223978424072264,0.05,6.79504132270813
15,deep,2025-11-30T18:57:28.374312+00:00,-16284.921434460626,0.0716,104.9941353891126,1.0,2236.5713623046877,2230.90966796875,2155.3220458984374,72.5797348022461,3.007932949066162,-30.82538833618164,0.1,2.830861759185791
16,deep,2025-11-30T18:57:29.615846+00:00,-18069.75900373434,0.11400000000000002,121.531768880298,1.0,2826.6123291015624,2823.6308837890624,2726.9935791015623,93.45496978759766,3.182294321060181,-35.538489532470706,0.1125,1.4906977891921998
17,deep,2025-11-30T18:57:30.855742+00:00,-18177.138684789996,0.1552,122.32167515603003,1.0,3324.52197265625,3321.6889892578124,3216.5251708984374,101.91849365234376,3.245348834991455,-39.441484451293945,0.1375,1.4164526820182801
18,deep,2025-11-30T18:57:32.190686+00:00,-17874.106553809146,0.1044,113.26712732523484,1.0,2500.3843994140625,2496.6666259765625,2419.9363525390627,73.54025726318359,3.1900707244873048,-32.3093765258789,0.175,1.8588814973831176
19,deep,2025-11-30T18:57:33.428511+00:00,-16692.24992842646,0.07880000000000001,106.12648576928959,1.0,2092.6555419921874,2086.399169921875,2007.6232177734375,75.25629577636718,3.5195991516113283,-32.0594539642334,0.025,3.128176784515381
